Frame,"Comp_Sky (ms)","G-Buffer (ms)","RT (ms)","SVGF_Spatial_1 (ms)","SVGF_Spatial_16 (ms)","SVGF_Spatial_2 (ms)","SVGF_Spatial_4 (ms)","SVGF_Spatial_8 (ms)","SVGF_Temp (ms)"
121,0.054176,0.39648,2.5208,0.266144,0.255904,0.251776,0.245632,0.247712,0.268192
122,0.054528,0.397536,2.42986,0.470912,0.255872,0.25728,0.247712,0.247712,0.268192
123,0.054304,0.397728,2.21091,0.267168,0.255872,0.251776,0.245632,0.24768,0.270208
124,0.05456,0.397408,2.38262,0.266144,0.253824,0.251808,0.245632,0.24768,0.274336
125,0.05504,0.700064,2.21494,0.451488,0.255904,0.271584,0.264096,0.245664,0.268192
126,0.055104,0.396,2.3855,0.265472,0.255872,0.251776,0.245632,0.24768,0.454528
127,0.054624,0.395584,2.2216,0.266112,0.255872,0.251808,0.245664,0.24768,0.26816
128,0.054656,0.401216,2.37242,0.266144,0.255904,0.526208,0.249088,0.24768,0.27024
129,0.054272,0.397504,2.60365,0.266144,0.255872,0.251776,0.245632,0.247712,0.27024
130,0.054368,0.401152,2.43418,0.266144,0.255904,0.251808,0.245664,0.247712,0.266144
131,0.059776,0.3992,2.21107,0.266144,0.394144,0.251776,0.245664,0.247712,0.27024
132,0.054336,0.396352,2.51376,0.266112,0.255872,0.251776,0.245632,0.24768,0.270208
133,0.054368,0.397376,2.42147,0.266144,0.257248,0.251808,0.245664,0.399264,0.266144
134,0.054432,0.39648,2.41635,0.264096,0.255904,0.251808,0.245632,0.247712,0.268192
135,0.054336,0.396864,2.21264,0.273664,0.255872,0.251776,0.245632,0.247712,0.423808
136,0.049888,0.398624,2.53274,0.266272,0.28288,0.251616,0.247712,0.458656,0.268192
137,0.054752,0.39392,2.4233,0.266144,0.255904,0.251776,0.245664,0.247712,0.27024
138,0.054272,0.39792,2.2096,0.266112,0.255872,0.252832,0.245632,0.24768,0.270208
139,0.054752,0.400384,2.38214,0.266144,0.255936,0.251808,0.52416,0.255168,0.27024
140,0.054784,0.397856,2.65776,0.266144,0.255904,0.251808,0.245664,0.247712,0.26816
141,0.054656,0.399168,2.21248,0.266112,0.255872,0.251776,0.245632,0.24768,0.270208
142,0.054208,0.398048,2.22099,0.266144,0.25488,0.251808,0.24768,0.247712,0.27024
143,0.0544,0.398016,2.64723,0.266144,0.253824,0.249728,0.245664,0.247712,0.274336
144,0.054368,0.562368,2.60339,0.266144,0.264768,0.251776,0.245632,0.247712,0.270208
145,0.054176,0.397152,2.21898,0.266144,0.255872,0.251776,0.245664,0.246656,0.27024
146,0.054144,0.399456,2.21466,0.266144,0.255904,0.391072,0.251072,0.24768,0.27024
147,0.054752,0.399072,2.50893,0.266112,0.255872,0.251776,0.245632,0.24768,0.270208
148,0.054752,0.397376,2.43226,0.268192,0.255872,0.459648,0.253152,0.24768,0.27024
149,0.0544,0.398048,2.21398,0.266144,0.255904,0.250752,0.247712,0.247712,0.270208
150,0.057312,0.398528,2.38349,0.266144,0.535424,0.251808,0.245632,0.24768,0.270208
151,0.054752,0.397024,2.6096,0.266144,0.43712,0.251776,0.245632,0.247712,0.264096
152,0.054592,0.396512,2.21325,0.266144,0.255904,0.251808,0.247712,0.246688,0.27024
